name,id,location,score,length,start,end
双花园小区,0,0,2.23652795,335.4791925,-335.4791925,335.4791925
建外SOHO东区A座,1,370,3.643991107,546.5986661,-176.5986661,916.5986661
PICC中国人保大厦,2,470,3.623286952,543.4930428,-73.4930428,1013.493043
中国国际贸易中心2座,3,900,3.68206344,552.309516,347.690484,1452.309516
国贸商城3期B座,4,1050,3.124599476,468.6899214,581.3100786,1518.689921
北京嘉里中心-北楼,5,1250,5.012329658,751.8494487,498.1505513,2001.849449
富尔大厦,6,1370,3.19058703,478.5880545,891.4119455,1848.588055
北京财富中心写字楼-A座,7,1480,3.332448009,499.8672014,980.1327987,1979.867201
财富中心三期,8,1630,4.224463965,633.6695948,996.3304053,2263.669595
渣打银行大厦,9,1770,3.164801959,474.7202939,1295.279706,2244.720294
环球金融中心,10,2030,3.29602252,494.403378,1535.596622,2524.403378
北京鹏龙兴元汽车销售服务有限公司,11,2070,3.421355208,513.2032812,1556.796719,2583.203281
万通中心AB座,12,2280,3.44156831,516.2352465,1763.764754,2796.235247
朝外SOHO,13,2410,3.867380401,580.1070602,1829.89294,2990.10706
东大桥东里小区,14,2690,3.803429329,570.5143994,2119.485601,3260.514399
昆泰大厦,15,2900,3.160967316,474.1450974,2425.854903,3374.145097
蓝岛大厦,16,2930,2.836934827,425.5402241,2504.459776,3355.540224
9XI结婚汇,17,3150,3.288129775,493.2194663,2656.780534,3643.219466
顺丰速运,18,3240,2.42890366,364.335549,2875.664451,3604.335549
嘉和一品,19,3260,2.351228756,352.6843134,2907.315687,3612.684313
东海海棠花,20,3280,2.368379851,355.2569777,2924.743022,3635.256978
沃尔玛,21,3300,2.636383604,395.4575406,2904.542459,3695.457541
天福茗茶,22,3320,2.513514217,377.0271326,2942.972867,3697.027133
金狮麟,23,3340,2.324771177,348.7156766,2991.284323,3688.715677
昆泰嘉华酒店,24,3430,3.176137951,476.4206927,2953.579307,3906.420693
中国人寿大厦,25,3730,3.250334051,487.5501077,3242.449892,4217.550108
STARBUCKS COFFEE,26,3810,2.224778637,333.7167956,3476.283204,4143.716796
丰联广场,27,3860,3.237689798,485.6534697,3374.34653,4345.65347
国安体育中心,28,3880,2.303151298,345.4726947,3534.527305,4225.472695
庆丰公园,29,3970,4.081948317,612.2922476,3357.707752,4582.292248
艾维克大厦,30,4210,3.193571917,479.0357876,3730.964212,4689.035788
瑞赛大厦,31,4280,3.78442531,567.6637965,3712.336204,4847.663797
METROPOLIS大都会,32,4380,3.2304704,484.57056,3895.42944,4864.57056
北京南航明珠商务酒店,33,4420,3.111635792,466.7453688,3953.254631,4886.745369
京汇大厦,34,4480,3.310527023,496.5790535,3983.420947,4976.579053
